,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
7283,Shibuya,Razmasynth,"['Clock Generator', 'LFO']",8,34.0,6.0,9.0,19.0,89.0,72,5.0,1.0,,0
7284,Crux,River,"['VCA', 'Dual/Stereo']",6,32.0,23.0,23.0,0.0,165.0,72,4.0,1.0,Discontinued,0
7285,Oberheim Mini Sequencer,Marion Systems Corporation,"['Clock Generator', 'MIDI', 'Sequencer']",34,,,,,626.0,72,,,,0
7286,12hp DIY Rings Module by Émilie Gillet. PCB by Flavio Mireles,Blue Lantern Modules,"['Effect', 'Noise', 'Oscillator']",12,32.0,110.0,5.0,0.0,257.0,72,,,Available,0
7287,Pro OUT,Olitronik Circuits,"['External', 'Utility']",6,38.0,,,,79.0,72,5.0,2.0,Discontinued,0
7288,zSPLIT (black panel),Motovilo,"['Multiple', 'Utility']",3,35.0,15.0,15.0,0.0,63.0,72,5.0,2.0,Available,1
7289,Tricay,ST Modular,"['CV Modulation', 'Envelope Generator', 'Function Generator']",6,25.0,38.0,15.0,0.0,,72,,,Available,0
7290,SCM - Black Panel,4ms Company,['Clock Generator'],4,,60.0,0.0,0.0,22.0,72,,,Available,0
7291,Nonlinear Circuits Sloth - Magpie black panel,Nonlinearcircuits,['LFO'],4,,20.0,,,76.0,72,,,Available,0
7292,F-510 Synare VCF,Ladik,"['Expander', 'Filter', 'Oscillator']",8,52.0,25.0,0.0,0.0,75.0,72,,,Available,0
7293,5:1,brownshoesonly,"['Attenuator', 'Utility', 'Video']",6,,,,,93.0,72,5.0,2.0,Available,0
7294,POLY EG/LFO,Mazzatron,"['Envelope Generator', 'LFO', 'Quad']",6,33.0,70.0,50.0,0.0,194.0,72,5.0,1.0,Available,1
7295,CATPAW black,Catoff,"['Attenuator', 'CV Modulation']",3,26.0,10.0,10.0,0.0,50.0,72,5.0,1.0,Discontinued,1
7296,Dual A+B-C,Foxing Hour,"['Logic', 'Mixer', 'Utility', 'Video']",4,47.0,35.0,30.0,0.0,20.0,72,,,Available,0
7297,Euro Bananas,Syntax,"['Utility', 'External', 'Multiple']",6,12.0,,,,90.0,72,,,Available,0
7298,1050 Mix-Sequencer Master,CMS,"['Clock Generator', 'Mixer', 'Sequencer']",14,,,,,694.0,72,,,Available,0
7299,ICSn,Clatters,"['Multiple', 'Utility']",2,29.0,16.0,16.0,0.0,75.0,72,,,Available,1
7300,Saw,Centrevillage,['Oscillator'],2,35.0,20.0,20.0,0.0,77.0,72,5.0,2.0,Available,0
7301,DDK,Blue Lantern Modules,"['Envelope Generator', 'VCA', 'Dual/Stereo']",8,32.0,28.0,28.0,,98.0,72,,,Available,0
7302,Grendel - Drone Commander 2 (2020) - Silver Panel,Rare Waves,"['Oscillator', 'Synth Voice']",35,72.0,120.0,2.0,,678.0,72,4.5,2.0,Available,0
7303,Sproom DSP,NoisyFruitsLab,"['Delay', 'Digital', 'Dual/Stereo', 'Effect', 'Reverb']",8,42.0,92.0,23.0,,190.0,72,,,Available,1
7304,SUM MIX & PAN,ST Modular,"['Mixer', 'Panning', 'VCA', 'Dual/Stereo', 'Quad']",18,,92.0,78.0,0.0,,72,,,Available,0
7305,MUN,Nonlinearcircuits,"['CV Modulation', 'Effect', 'Envelope Generator', 'Filter']",22,,,,0.0,42.0,72,,,Available,0
7306,AI012 Wave Animator Silver,AI Synthesis,"['CV Modulation', 'Expander', 'LFO', 'Oscillator', 'Sequencer', 'Waveshaper']",8,35.0,13.0,13.0,0.0,81.0,72,,,Available,1
7307,Gimme Some Kick Drum,Blue Lantern Modules,['Drum'],10,32.0,28.0,23.0,,107.0,72,,,Available,0
7308,Major Tom Expander,NONO Modular,['Expander'],14,35.0,,,,290.0,72,,,Available,1
7309,Air-Wave Modulation Source,Holocene Electronics,"['LFO', 'Noise', 'Random', 'Sample and Hold']",10,22.0,87.0,35.0,,213.0,72,,,Available,1
7310,MIDI CV Converter,Blue Lantern Modules,['MIDI'],6,,,,,71.0,71,5.0,1.0,,0
7311,White LFO,Blue Lantern Modules,"['LFO', 'Noise', 'Sample and Hold']",6,,,,,112.0,71,3.67,3.0,,0
7312,RS-130,Analogue Systems,['Quantizer'],24,93.0,110.0,110.0,,509.0,71,3.0,1.0,Available,0
7313,Tube Distortion VCA,Befaco,"['Attenuator', 'Distortion', 'VCA', 'Tube']",11,,,,,,71,,,,0
7314,VCF SYNT12,EMW,['Filter'],10,50.0,9.0,6.0,,116.0,71,,,Available,1
7315,Mr Fill Gates,Blue Lantern Modules,['Sequencer'],13,50.0,,,,155.0,71,4.2,5.0,,0
7316,L-110  LFO,Ladik,['LFO'],4,20.0,20.0,20.0,0.0,51.0,71,4.0,2.0,Discontinued,0
7317,KIK8,Falafular,['Drum'],6,43.0,,,0.0,,71,5.0,1.0,,0
7318,ADDAC402 - 4 Voice Heuristic Rhythm Generator (custom grey),ADDAC System,"['Drum', 'Sequencer']",20,,140.0,40.0,0.0,440.0,71,3.67,3.0,Available,0
7319,POLARIZER,Seismic Industries,"['Attenuator', 'CV Modulation', 'Mixer', 'Polarizer', 'VCA', 'Ring Modulator', 'Utility']",4,13.0,50.0,50.0,,88.0,71,3.0,1.0,,0
7320,U-035 3ch audio-to-trig (4HP),Ladik,['Utility'],4,52.0,20.0,0.0,0.0,55.0,71,,,Available,0
7321,Gait,Folktek,"['Quad', 'Switch', 'Utility']",6,25.0,50.0,0.0,0.0,115.0,71,4.5,2.0,,1
7322,Ian Fritz Euro Teezer thru-zero VCO,synthCube,['Oscillator'],18,65.0,88.0,86.0,0.0,219.0,71,5.0,1.0,Available,0
7323,2xVCA rev2,Noise Reap,"['VCA', 'Dual/Stereo', 'Attenuator']",8,22.0,22.0,22.0,0.0,60.0,71,5.0,1.0,Available,0
7324,AVS-VCO-1,AvonSynth,['Oscillator'],10,20.0,25.0,25.0,0.0,150.0,71,5.0,1.0,Available,1
7325,Six Channel Mixer Model 106,Tokyo Tape Music Center,"['Dual/Stereo', 'Mixer']",14,30.0,10.0,,,198.0,71,5.0,1.0,Available,0
