,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
6355,12hp DIY Rings Module by Émilie Gillet. PCB by Flavio Mireles,Blue Lantern Modules,"['Effect', 'Noise', 'Oscillator']",12,32.0,110.0,5.0,0.0,257.0,72,,0.0,Available,0
6356,A-139 (Discontinued),Doepfer,['External'],8,,100.0,,0.0,55.0,72,3.5,2.0,Discontinued,0
6357,VC-FC Forward Compressor,Cwejman,"['External', 'Dynamics']",18,,70.0,70.0,0.0,,72,5.0,2.0,,0
6358,U-035 3ch audio-to-trig (4HP),Ladik,['Utility'],4,52.0,20.0,0.0,0.0,55.0,71,,0.0,Available,0
6359,blossom  ブロッサム,Bizarre Jezabel,"['Dual/Stereo', 'Effect', 'Filter']",8,45.0,100.0,95.0,0.0,315.0,71,5.0,2.0,Available,0
6360,mGrids Midi+,Michigan Synth Works,['Expander'],2,30.0,,,,45.0,71,,0.0,Available,0
6361,RectangularThing,This is Not Rocket Science,"['Envelope Generator', 'Filter', 'Oscillator', 'Synth Voice']",36,25.0,60.0,60.0,0.0,700.0,71,5.0,2.0,Available,0
6362,SVFs,Super Synthesis,"['Filter', 'Oscillator']",12,22.0,50.0,50.0,,236.0,71,5.0,2.0,Discontinued,1
6363,Tube Distortion VCA,Befaco,"['Attenuator', 'Distortion', 'VCA', 'Tube']",11,,,,,,71,,0.0,,0
6364,Video Calculator,Afterlife Laboratories,['Video'],28,33.0,190.0,170.0,0.0,536.0,71,,0.0,Available,0
6365,Turbo Entubulator,Epicycloid Engineering,"['Tube', 'VCA', 'Waveshaper']",15,41.0,60.0,60.0,,464.0,71,5.0,1.0,Available,0
6366,MIDI CV Converter,Blue Lantern Modules,['MIDI'],6,,,,,71.0,71,5.0,1.0,,0
6367,White LFO,Blue Lantern Modules,"['LFO', 'Noise', 'Sample and Hold']",6,,,,,112.0,71,3.67,3.0,,0
6368,L-110  LFO,Ladik,['LFO'],4,20.0,20.0,20.0,0.0,51.0,71,4.0,2.0,Discontinued,0
6369,Mr Fill Gates,Blue Lantern Modules,['Sequencer'],13,50.0,,,,155.0,71,4.2,5.0,,0
6370,2xVCA rev2,Noise Reap,"['VCA', 'Dual/Stereo', 'Attenuator']",8,22.0,22.0,22.0,0.0,60.0,71,5.0,1.0,Available,0
6371,Six Channel Mixer Model 106,Tokyo Tape Music Center,"['Dual/Stereo', 'Mixer']",14,30.0,10.0,,,198.0,71,5.0,1.0,Available,0
